Uniprot	Taxid
P62328	9606
P60709	9606
P06733	9606
P63313	9606
P04406	9606
P14618	9606
P62937	9606
P68371	9606
P23528	9606
P07355	9606
P08670	9606
P62857	9606
P26447	9606
P07737	9606
P08238	9606
P00338	9606
P22626	9606
P68363	9606
P10809	9606
P26373	9606
Q06830	9606
P29401	9606
P16403	9606
P63104	9606
P42766	9606
P05783	9606
P06703	9606
P68104	9606
P07195	9606
P67936	9606
P04075	9606
P11142	9606
P46778	9606
P06748	9606
Q9Y3U8	9606
P62081	9606
P09429	9606
P62263	9606
P62891	9606
P53999	9606
P61254	9606
P62979	9606
P10599	9606
P60174	9606
P09651	9606
P37802	9606
P63220	9606
P62910	9606
P62917	9606
P13639	9606
P00558	9606
P84098	9606
P35268	9606
P25398	9606
P62244	9606
P04792	9606
P05387	9606
P36578	9606
Q99497	9606
P61247	9606
P40429	9606
P20962	9606
P02545	9606
P39019	9606
P11021	9606
P06454	9606
P62826	9606
P46779	9606
P22392	9606
P52565	9606
P50914	9606
Q01105	9606
P46782	9606
P23396	9606
P62906	9606
P60842	9606
P46777	9606
P09382	9606
Q07020	9606
Q02543	9606
P23284	9606
P80723	9606
P13693	9606
P63173	9606
P35579	9606
P39023	9606
P18621	9606
Q71UM5	9606
P62701	9606
P62888	9606
P60866	9606
P61978	9606
P62241	9606
P18669	9606
P07900	9606
P18077	9606
P61353	9606
P0C0S5	9606
P07910	9606
P62753	9606
P16401	9606
P09211	9606
P62280	9606
P18124	9606
Q02878	9606
P04083	9606
P32969	9606
Q8NC51	9606
P25705	9606
P62854	9606
P19338	9606
P60660	9606
P62249	9606
P49773	9606
Q15233	9606
P38646	9606
P06744	9606
P06576	9606
O75347	9606
P62899	9606
P30050	9606
P84103	9606
P21796	9606
P26583	9606
P27797	9606
P05388	9606
P62750	9606
O75531	9606
P16949	9606
P05141	9606
P07237	9606
P08758	9606
P30101	9606
P15311	9606
O43852	9606
P21333	9606
P19105	9606
P30086	9606
P51991	9606
P08865	9606
P55072	9606
P30044	9606
P00441	9606
P50502	9606
P62277	9606
P47914	9606
Q00839	9606
P61604	9606
P62266	9606
P14625	9606
P12956	9606
P84090	9606
P49207	9606
Q13185	9606
P26641	9606
P31943	9606
P15880	9606
P60903	9606
P61956	9606
P31327	9606
P15559	9606
Q01469	9606
P63244	9606
P12268	9606
P62829	9606
P26038	9606
P12277	9606
P61513	9606
P37108	9606
P67809	9606
P49368	9606
P62316	9606
P31948	9606
Q15366	9606
P48643	9606
P18859	9606
P33316	9606
P78371	9606
P62942	9606
P32119	9606
P40926	9606
P49411	9606
P43487	9606
P07108	9606
P46776	9606
P58546	9606
Q15185	9606
P50991	9606
P08195	9606
P62913	9606
P39687	9606
P27348	9606
P13010	9606
P11940	9606
P61981	9606
P40227	9606
Q9UQ80	9606
Q969Q0	9606
P50454	9606
P30041	9606
P20290	9606
O60869	9606
P61313	9606
P50990	9606
P20700	9606
P42330	9606
P62314	9606
P52272	9606
Q14103	9606
P60981	9606
Q9HB71	9606
P04080	9606
P31946	9606
Q13151	9606
P09493	9606
Q13283	9606
P17987	9606
P09496	9606
P68032	9606
O43175	9606
Q07955	9606
P31949	9606
P22234	9606
P62273	9606
P23246	9606
O14818	9606
Q99623	9606
P23526	9606
P26599	9606
P83731	9606
Q99832	9606
Q9Y266	9606
P53396	9606
Q01130	9606
P40925	9606
Q07666	9606
P14314	9606
Q02790	9606
P07951	9606
P62308	9606
P17844	9606
P42677	9606
P54819	9606
P56385	9606
Q16576	9606
O75947	9606
P62847	9606
Q16658	9606
P35232	9606
P51858	9606
P13987	9606
P63279	9606
P28066	9606
O43399	9606
P52597	9606
Q15149	9606
Q15084	9606
P61586	9606
P52209	9606
P09669	9606
P14927	9606
Q15293	9606
P84077	9606
P50238	9606
Q12906	9606
P11413	9606
P47756	9606
Q13263	9606
Q13442	9606
O60506	9606
P47813	9606
P62306	9606
P41567	9606
P49458	9606
P05455	9606
P31947	9606
Q14019	9606
P31939	9606
O75822	9606
P25786	9606
P26639	9606
P12004	9606
P34897	9606
P63167	9606
P45880	9606
Q15365	9606
Q14697	9606
P37837	9606
P38159	9606
Q969H8	9606
Q01518	9606
O75964	9606
P05198	9606
P39748	9606
P21291	9606
P61224	9606
P11586	9606
Q96AE4	9606
P36542	9606
P05204	9606
P55209	9606
P50395	9606
Q15691	9606
P15121	9606
Q15369	9606
O14737	9606
P52907	9606
P27695	9606
Q01995	9606
P38117	9606
P62877	9606
P12429	9606
Q8NDC0	9606
P60953	9606
Q16629	9606
P25788	9606
Q00688	9606
Q15056	9606
Q14974	9606
Q9H299	9606
Q04917	9606
P48047	9606
O75367	9606
P63000	9606
O14979	9606
P55809	9606
P31689	9606
Q7KZF4	9606
Q9P0L0	9606
P63208	9606
Q92688	9606
Q99584	9606
Q99714	9606
P49327	9606
Q9Y5S9	9606
P00505	9606
Q16881	9606
P31942	9606
Q9UBI6	9606
O75083	9606
Q9Y230	9606
P38919	9606
P22314	9606
P45973	9606
O95816	9606
Q9UK76	9606
P62318	9606
P42771	9606
Q8N726	9606
Q9NR30	9606
P20042	9606
P30084	9606
P18206	9606
P13073	9606
P61326	9606
P30153	9606
P99999	9606
Q9Y490	9606
P13797	9606
P54727	9606
P05386	9606
Q9UI30	9606
P61160	9606
Q15907	9606
Q9Y617	9606
P42166	9606
P42167	9606
P18754	9606
Q09028	9606
P61289	9606
P25787	9606
Q04760	9606
P04843	9606
O15144	9606
P34932	9606
P31153	9606
P16152	9606
P24539	9606
P06493	9606
P08133	9606
P06753	9606
P17096	9606
Q05682	9606
O75390	9606
P51149	9606
Q14444	9606
P30040	9606
P25789	9606
P33552	9606
Q99436	9606
P35613	9606
O60925	9606
P46940	9606
P55327	9606
Q00765	9606
Q9Y3F4	9606
P37840	9606
Q15019	9606
P09874	9606
Q07065	9606
Q9NQP4	9606
Q07021	9606
Q13347	9606
O00193	9606
P28070	9606
Q15819	9606
Q7L1Q6	9606
Q9NX63	9606
P31040	9606
Q16543	9606
Q12931	9606
Q9UJZ1	9606
O00571	9606
P13667	9606
Q9Y3I0	9606
Q9Y696	9606
P55884	9606
Q96AG4	9606
P62873	9606
Q01813	9606
Q9UMY4	9606
Q9GZT3	9606
Q9BWJ5	9606
P00492	9606
Q8N4H5	9606
Q15181	9606
P20618	9606
Q12904	9606
P49257	9606
Q9NZ45	9606
P30048	9606
Q15717	9606
P49755	9606
P55769	9606
Q9UMS4	9606
P59998	9606
P54577	9606
Q15836	9606
P98179	9606
P09622	9606
P61158	9606
Q9Y2B0	9606
P09661	9606
P17980	9606
P07954	9606
P29966	9606
P49721	9606
Q9Y3A5	9606
P26368	9606
Q15370	9606
P62820	9606
P18085	9606
Q99471	9606
O75369	9606
P60891	9606
P50402	9606
O43684	9606
P60900	9606
O15145	9606
P28074	9606
Q96CT7	9606
P61088	9606
Q16718	9606
Q08J23	9606
P31930	9606
Q9UBQ7	9606
P21266	9606
P17931	9606
P78417	9606
Q9NRX4	9606
P29373	9606
P05114	9606
P12814	9606
Q99873	9606
P56537	9606
Q08211	9606
Q14847	9606
Q9Y224	9606
O15347	9606
Q13813	9606
P30626	9606
P15170	9606
P51572	9606
Q9NZ01	9606
P13929	9606
P33993	9606
Q15046	9606
Q99729	9606
P00568	9606
O15511	9606
P35659	9606
Q6NZI2	9606
P51571	9606
P23919	9606
P23588	9606
P10606	9606
P08621	9606
P13804	9606
P00491	9606
P22061	9606
P61927	9606
P52943	9606
P61081	9606
Q14152	9606
O00231	9606
P62304	9606
P07814	9606
Q99848	9606
Q9Y285	9606
O14745	9606
Q16719	9606
P08559	9606
P61024	9606
P23921	9606
Q1KMD3	9606
P62995	9606
P20810	9606
Q14247	9606
P49321	9606
Q9BRA2	9606
P51665	9606
Q9UKK9	9606
Q9BWD1	9606
O76003	9606
P61923	9606
Q09666	9606
P08579	9606
O43143	9606
O76021	9606
Q9NVI7	9606
P35241	9606
O75340	9606
Q16836	9606
P56381	9606
P14324	9606
Q9BTT0	9606
Q16181	9606
P12081	9606
P50995	9606
O75821	9606
P11766	9606
Q13162	9606
Q8NBS9	9606
P05023	9606
P11177	9606
O75396	9606
P35998	9606
P62195	9606
P42704	9606
P30085	9606
P02786	9606
Q02539	9606
P10644	9606
Q8WW12	9606
P49736	9606
Q13435	9606
Q15287	9606
Q9H9B4	9606
P01891	9606
P01892	9606
P10316	9606
O43776	9606
P33991	9606
P00387	9606
P30837	9606
Q10471	9606
P20674	9606
P48507	9606
Q8IUE6	9606
Q9UKD2	9606
P61077	9606
P14854	9606
P19623	9606
P30464	9606
P30483	9606
P30484	9606
P30488	9606
P30490	9606
P62495	9606
Q8WUM4	9606
P47985	9606
Q12797	9606
Q8NI22	9606
Q9HAV7	9606
Q9BUF5	9606
Q9NVA2	9606
O14579	9606
Q00796	9606
P17812	9606
P55084	9606
P43034	9606
Q13247	9606
P61106	9606
P25205	9606
Q14566	9606
O14561	9606
Q99798	9606
P52292	9606
P51148	9606
P00367	9606
O75475	9606
P62191	9606
O43598	9606
Q96K17	9606
P40261	9606
P33992	9606
O43768	9606
P49588	9606
Q16891	9606
Q9Y2X3	9606
P04632	9606
P47897	9606
P36952	9606
P15531	9606
P54136	9606
Q9ULV4	9606
Q96FW1	9606
Q15388	9606
P40121	9606
O75874	9606
Q9Y6A9	9606
P30049	9606
P50897	9606
P40939	9606
P68366	9606
P55060	9606
Q9UMX0	9606
Q9NYL9	9606
P14678	9606
Q92499	9606
P35637	9606
Q9H098	9606
P32322	9606
Q9Y6E2	9606
P63165	9606
Q12874	9606
Q96B49	9606
P00390	9606
Q01650	9606
P04818	9606
Q92945	9606
Q9UN86	9606
P46060	9606
Q9Y2S6	9606
Q9UKM9	9606
O75494	9606
O15067	9606
P54920	9606
Q9Y262	9606
O43242	9606
Q9BRK5	9606
P41250	9606
Q9NTK5	9606
Q96PK6	9606
Q01082	9606
P61019	9606
Q99439	9606
Q13243	9606
O60493	9606
P35221	9606
P26885	9606
Q13526	9606
O95433	9606
O76070	9606
O00170	9606
Q9Y5B9	9606
O00148	9606
Q08945	9606
O00567	9606
O43396	9606
O15371	9606
O75534	9606
Q9H773	9606
Q14696	9606
Q9Y3C6	9606
Q13561	9606
Q13423	9606
Q9UHV9	9606
Q15645	9606
Q04637	9606
Q9C005	9606
Q9P0U1	9606
P14868	9606
O60664	9606
Q00325	9606
P35080	9606
P10768	9606
Q13310	9606
Q9UBT2	9606
P42765	9606
P24666	9606
P62136	9606
Q8TDN6	9606
P53597	9606
P14209	9606
O00625	9606
Q92769	9606
Q9P2J5	9606
Q9NUU7	9606
Q9UNZ5	9606
Q96A26	9606
P41252	9606
P07099	9606
Q92973	9606
Q15029	9606
P33176	9606
Q96DI7	9606
Q13242	9606
P00167	9606
Q13200	9606
P61163	9606
P49419	9606
Q13148	9606
Q92598	9606
P28072	9606
P08237	9606
P11387	9606
P68402	9606
O00264	9606
O15372	9606
Q92522	9606
Q14257	9606
Q04828	9606
Q9NPJ3	9606
P07741	9606
P78527	9606
Q9UNL2	9606
P09488	9606
Q15459	9606
P02794	9606
O00232	9606
Q15393	9606
P50552	9606
Q15428	9606
Q9NR31	9606
P60228	9606
P27105	9606
Q02818	9606
P55036	9606
Q9BZL1	9606
Q13907	9606
P25685	9606
P67775	9606
Q9Y605	9606
Q9H910	9606
Q96I24	9606
Q9BVK6	9606
P16615	9606
Q9BR76	9606
O00764	9606
Q9BRJ6	9606
P11310	9606
P61758	9606
Q14980	9606
Q9UBE0	9606
P23381	9606
Q9UBQ0	9606
Q96EP5	9606
P52895	9606
P04844	9606
Q9NZZ3	9606
P17174	9606
Q9Y277	9606
P16070	9606
P62879	9606
Q9NSD9	9606
Q86UP2	9606
Q16643	9606
P78347	9606
Q16555	9606
Q9NP97	9606
O75438	9606
Q12907	9606
Q9NZN4	9606
O43809	9606
O75607	9606
P36871	9606
Q9UBB4	9606
Q15424	9606
Q9BS26	9606
O60701	9606
Q16778	9606
P63218	9606
P06730	9606
Q9BY32	9606
P55010	9606
Q96FQ6	9606
P55735	9606
P49915	9606
Q9BWF3	9606
P24752	9606
P55786	9606
O15355	9606
P41227	9606
P54578	9606
Q9Y3E5	9606
Q13177	9606
Q5SSJ5	9606
Q9NX24	9606
Q14914	9606
P35580	9606
Q9BPX5	9606
P11498	9606
P36507	9606
Q96DG6	9606
Q92734	9606
O75533	9606
Q9BUJ2	9606
Q9NPE3	9606
Q9BUP3	9606
P08754	9606
Q03135	9606
Q16531	9606
P61086	9606
Q9UJU6	9606
Q14498	9606
P38606	9606
Q7RTV0	9606
P36776	9606
Q93045	9606
O75832	9606
P48739	9606
O75506	9606
Q9NR45	9606
O96008	9606
O95347	9606
Q6IBS0	9606
P20340	9606
Q9H2H8	9606
P36957	9606
Q9UGI8	9606
P14550	9606
P30043	9606
O14929	9606
Q99460	9606
P30566	9606
Q10589	9606
P05556	9606
Q9BT78	9606
Q9NX55	9606
P37235	9606
P12270	9606
O43670	9606
O00410	9606
P01116	9606
Q15637	9606
Q9Y5L4	9606
Q8WU90	9606
O00151	9606
Q99536	9606
Q9Y570	9606
Q9Y281	9606
Q96CX2	9606
P52788	9606
P00374	9606
O43324	9606
P50213	9606
Q15758	9606
O95831	9606
Q12792	9606
P48444	9606
P30838	9606
Q8WXX5	9606
Q8N183	9606
Q15417	9606
Q9NUQ9	9606
Q9H0U4	9606
P21964	9606
O95777	9606
Q99417	9606
Q9H1E3	9606
P47755	9606
Q6FI81	9606
O75934	9606
P47712	9606
Q9Y2R0	9606
P53621	9606
Q9Y5M8	9606
Q96HC4	9606
Q99961	9606
Q13409	9606
Q9NRF9	9606
Q9NYF8	9606
O75643	9606
Q16527	9606
O15305	9606
P04179	9606
Q96TA1	9606
P11388	9606
Q14683	9606
Q13126	9606
Q86U42	9606
P49748	9606
Q15102	9606
P54886	9606
Q03252	9606
Q99829	9606
P28838	9606
P09960	9606
Q9BZE4	9606
P23193	9606
Q9UBS4	9606
O95573	9606
P43490	9606
