UniProt	Species
G3V6J8	10116
Q9EQL6	10116
Q9R012	10116
Q62881	10116
Q63053	10116
P10158	10116
Q5U334	10116
D3ZBN3	10116
P05432	10116
Q9JHX0	10116
M0R3P2	10116
M0R6Z6	10116
P49616	10116
G3V7L2	10116
Q62767	10116
F1LNT5	10116
Q9QZA1	10116
P20695	10116
Q5XIV9	10116
Q4V8J4	10116
A0A0G2JZ99	10116
G3V7K9	10116
P55043	10116
Q06175	10116
F1LPJ5	10116
O54838	10116
A0A0G2JSK7	10116
Q4JM44	10116
Q99MA1	10116
D3ZIA4	10116
P51145	10116
D3ZLB7	10116
Q62738	10116
S5NB67	10116
D4AAK5	10116
D4AAU5	10116
P54842	10116
Q9R1U5	10116
A0A0G2JTQ1	10116
P43301	10116
Q4V8L1	10116
A0A1W2Q6P5	10116
Q5BK73	10116
D3ZRE0	10116
B2BL32	10116
B2BL34	10116
B2BL35	10116
B2BL36	10116
B2BL37	10116
B2BL40	10116
B2BL42	10116
P42533	10116
Q66HI4	10116
P61214	10116
G3V742	10116
P23097	10116
Q8K3H6	10116
A0A0G2K2L3	10116
A0A0G2KA34	10116
F1LPL9	10116
P03957	10116
D3ZZA9	10116
F1LP80	10116
P20156	10116
Q8VD48	10116
D4AAE4	10116
G3V788	10116
P07152	10116
D3ZI64	10116
A0A0G2KB92	10116
A0A1W2Q632	10116
A0A1W2Q6Q2	10116
O08875	10116
Q9WVP7	10116
Q63921	10116
Q66HK3	10116
P09810	10116
Q6AYP2	10116
Q9QZH0	10116
P18589	10116
Q499Q3	10116
A0A0G2K1G2	10116
B0BNC3	10116
G3V646	10116
G3V6F7	10116
Q812E4	10116
D3ZAG0	10116
D3ZAX7	10116
A0A0A0MY13	10116
D4A6L0	10116
Q80ZF7	10116
D3ZB51	10116
B5DF61	10116
G3V6F9	10116
Q80XX9	10116
D4A3I1	10116
A0A0G2JV24	10116
M0R979	10116
Q71SA3	10116
Q64346	10116
Q5M863	10116
A0A0H2UI29	10116
G3V942	10116
P25023	10116
D4AE48	10116
Q6P771	10116
D4ABY6	10116
P50745	10116
D4A4F4	10116
Q9R011	10116
Q5FVP2	10116
A0A0G2JX73	10116
O08876	10116
D3ZAE6	10116
D3ZC87	10116
A0A0H2UHN2	10116
O35760	10116
B1H230	10116
Q498S1	10116
