Bait Accession,Prey Accession,SAINT_24,24HPI,SAINT_48,48HPI,SAINT_72,72HPi,SAINT_96,96HPI,SAINT_120,120HPI
P16755,Q6NZI2,0,66796.54072,0.02,38649.52458,0.49,31298.40118,0.96,20785.30221,0.95,24842.82097
P16755,O00165,0.8,8052.683284,0.56,10354.14424,0.94,7677.537604,0.8,12600.13225,0.96,14264.40395
P16755,P55084,0.51,55094.47858,0.13,63926.0563,0.98,31754.71981,1,52349.48239,0.63,44405.073
P16755,Q07065,0.58,109771.4826,0.29,144656.4441,1,103354.8486,1,93897.38232,1,108314.3389
P16755,Q13501,0.99,50858.32911,1,63895.76832,1,36491.81149,0.95,18304.4531,0.96,16673.01313
P16755,P20337,0.32,42333.21978,0.03,60081.73523,0.99,27622.00855,0.42,18696.87013,0.78,27774.64518
P16755,Q9NQC3,0.09,66612.31278,0.25,71375.84797,0.38,33827.29526,0.65,22551.76672,0.94,37979.86954
P16755,Q6PJW8,0.52,35264.66912,0.93,56523.49277,0.98,30528.79877,0.97,31686.54784,0.94,25758.62589
P16755,Q9BRK5,0.81,36064.5525,0.51,53712.40424,0.86,64896.45686,0.96,68620.89202,0.99,84567.57039
P16755,P16615,0.28,19387.54325,0.38,9194.654001,0.98,19414.49793,0.4,6538.10755,0.83,7387.046346
P16755,P51148,0.11,31544.02392,0.42,34693.20623,0.79,22089.97833,0.79,18411.67281,0.91,21862.67762
P16755,O75396,0,5777.193727,0.38,10447.97425,0.87,4441.002999,0.92,6352.674265,0.56,5322.278181
P16755,P11021,0.39,2198926.164,0.01,3260461.983,0.48,3782131.707,0.92,6704448.475,0.68,4817908.963
P16755,Q14257,0.95,723738.4875,0.98,1261595.879,1,1205619.04,1,994225.7791,0.99,1332692.695
P16755,Q96D15,0.7,478440.8191,0.81,613888.7634,1,489141.1753,0.99,341893.1684,0.55,398525.2533
P16755,P20591,0.1,46677.37711,0.46,57020.49671,1,33663.13615,1,24798.96912,0.97,22583.01411
P16755,Q9UBS4,0.04,96897.24117,0,129671.1236,0.98,82899.83061,1,112773.622,0.6,106074.705
P16755,P14625,0.14,70926.04154,0.24,94848.46905,0.98,60123.68157,1,65335.35844,0.97,96700.30766
P16755,P55072,0,24616.1572,0.01,38669.28264,0.98,14985.41126,0.99,21133.27229,0.87,21457.95868
P16755,O95816,1,376090.3772,0.99,403494.3071,0.99,191880.3245,0.97,165418.9076,0.99,135603.5503
P16755,P05388,0,36132.15501,0,26918.56117,0.32,36977.19613,0.04,34270.50474,0.98,41903.61949
P16755,Q9UBP4,0.47,15088.98685,0.86,14072.85777,0.99,45242.42881,0.98,45109.04553,0.99,42278.78873
P16755,Q7Z406,0,1962.490408,0.05,7744.712781,0.38,1831.584906,0.97,3828.409471,0.86,3892.980848
P16755,P39656,0,25049.17771,0.03,43517.58823,0.67,24845.99061,0.9,27927.94406,0.04,27161.33882
P16755,O14744,0.85,40970.06757,0.86,39122.48927,0.99,45528.03215,0.98,43905.99294,0.97,48653.24727
P16755,P27797,0.3,41269.9091,0.13,69713.30928,0.61,37989.8235,0.91,22376.76591,0.83,57622.67511
P16755,P57088,0.56,7745.203656,0.13,13060.76342,0.95,13927.69576,0.96,12883.40403,0.71,12450.91374
P16755,O15269,0.47,16308.84365,0,23236.60915,0.95,17541.42333,0.7,13518.16819,0.95,15998.15364
P16755,Q96CS3,0.43,6976.830705,0.3,12177.34866,0.73,9763.366493,0.82,12197.05704,0.96,9103.229921
P16755,Q9BZG1,0.21,7426.36733,0.41,11349.51934,0.33,5043.950618,0.93,7374.021304,0.57,6802.991493
P16755,Q02818,0,4308.48666,0.12,15662.81002,0.98,17080.3598,0.97,33388.90682,1,27337.08317
P16755,Q969X5,0.05,17394.80838,0.19,23192.3894,0.18,13901.44485,0.92,22672.91876,0.91,17172.72411
P16755,Q07020,0,9898.238441,0.01,5473.060879,0.93,10086.02539,0.9,5663.095225,0.89,7717.88028
P16755,P13674,0.11,10900.82517,0.22,6235.843841,0.91,4577.614859,0.86,4163.452719,0.94,4479.82082
P16755,Q02809,0.54,6155.850845,0.36,6876.590548,0.92,4833.723961,0.95,5388.004849,0.87,4541.87919
P16755,P46977,0.35,4681.18847,0.2,11846.76494,0.91,9034.740723,0.54,10520.01338,0.24,12169.17674
P16755,P32969,0.25,18640.00978,0,7171.470441,0.35,7102.685293,0.9,4810.647271,0.91,7980.250849
P16755,Q9UBS3,0.67,12021.54149,0.44,12410.41701,0.75,8435.767328,0.92,5754.709999,0.79,4370.139955
P16755,Q9HCN8,0.43,4649.966112,0,6197.851017,0.24,4243.283646,0.9,4171.356692,0.78,3172.394063
P16755,P40616,0,9111.665179,0.07,14493.92911,0,7782.438151,0.79,7142.949061,0.91,7120.117298
P16755,P24390,0.41,11285.19877,0.02,4309.350776,0.9,2814.373871,0.4,1895.307136,0.95,5125.352846
P16755,O60568,0.73,3334.346926,0,2326.500908,0.65,2762.488967,0.92,2485.465454,0.58,2755.256079
P16755,Q8NF37,0,2116.712464,0.42,4028.747882,0.4,3307.387405,0.96,4469.097937,0.73,3108.383484
P16755,Q9UBV2,0,2819.926655,,6516.062836,0,10347.08637,0.7,14499.94943,0.91,15744.35611
P16755,P02649,,2889.431831,0.33,20753.39095,0,10165.53848,0,27673.31161,0.98,39986.82429
P16755,Q9NXH8,0.46,4184.9407,0,5176.54101,0.92,2909.019231,0.72,3238.103662,0,2313.104985
P16755,P80303,,1839.716696,,6243.015083,0.34,11900.09982,0.22,20057.58702,0.92,18214.43082
P16755,Q96EY1,0.99,39049.15923,0.77,43636.59425,0.93,40099.39735,1,52274.19757,0.67,39012.08884
P16755,Q63ZY3,0.92,17053.56084,0.91,14372.54383,0.89,9573.32713,1,8565.323005,0.95,7122.693813
P16755,P62269,0,21233.53141,0,14035.53318,0.81,13722.36517,0.95,8867.66428,0.42,12532.01297
P16755,Q07021,0.58,5816.059651,0.58,7056.782149,0.48,3949.414184,0.81,3085.035924,0.99,6930.301825
P16755,Q9UJZ1,0.57,3209.068147,0.36,3452.503843,0.47,2809.927938,0.91,3036.623308,0.91,4341.59431
P16755,P40939,0.76,87257.53322,0.21,86464.87948,1,62695.16283,0.99,99396.28691,0.46,97978.98273
P16755,P36873,1,18886.48586,1,32439.97119,1,19626.28664,1,19587.17201,1,17758.72458
P16755,Q9Y6N5,0.31,174882.2504,0.46,299468.4558,0.95,231393.3914,1,309032.1113,0.86,239978.4395
P16755,Q9UJS0,0.87,55622.90566,0.45,99629.64499,1,104769.867,0.92,167582.4796,0.23,169989.7021
P16755,Q9NVI7,0.8,172440.0095,0.92,196032.4883,1,160465.0465,1,222439.6494,1,173371.5476
P16755,Q9BWM7,0,79398.39087,0,113544.7181,0.96,95382.37143,0.98,147560.2779,0.1,130213.6114
