accession	taxid
O95881	9606
Q96CU9	9606
O95232	9606
P11310	9606
Q96IU4	9606
O76031	9606
Q6IBS0	9606
Q9P287	9606
Q9UBP6	9606
P20936	9606
Q9GZP9	9606
P35609	9606
Q9NYF8	9606
Q15942	9606
P46531	9606
Q8TAE8	9606
Q8IXT5	9606
O75554	9606
Q96MU7	9606
Q02809	9606
O43292	9606
Q75N03	9606
P60891	9606
Q8WUA7	9606
P40227	9606
A8CG34	9606
Q9HCD6	9606
Q16181	9606
Q93096	9606
Q9NUD5	9606
Q96EU6	9606
Q14181	9606
P13726	9606
O95155	9606
Q8WXH0	9606
P26368	9606
O94842	9606
P62263	9606
Q676U5	9606
Q9BQP7	9606
Q7Z6K5	9606
O14920	9606
Q9UBR5	9606
Q9C0C2	9606
Q15833	9606
Q6ZRP7	9606
Q9BQ39	9606
Q3YEC7	9606
Q9UJS0	9606
Q9Y2L9	9606
Q07954	9606
O14715	9606
Q9P0P0	9606
P19838	9606
Q9Y5B6	9606
Q3SXM5	9606
Q8IZ07	9606
Q9NXF8	9606
Q8NC42	9606
P13804	9606
P37198	9606
Q562E7	9606
Q12974	9606
P46777	9606
Q15388	9606
Q13393	9606
Q9BUN8	9606
O00339	9606
A0MZ66	9606
P12074	9606
O43164	9606
P62158	9606
Q8WWM7	9606
O95563	9606
P53350	9606
P16403	9606
Q9NX24	9606
Q9BTT4	9606
Q9P2D0	9606
Q9Y5W7	9606
P62701	9606
Q9NV06	9606
P30536	9606
Q8IUW5	9606
Q8N357	9606
Q15032	9606
Q969G6	9606
Q00796	9606
Q6IBW4	9606
Q9HAH7	9606
O14841	9606
Q9NTJ5	9606
Q15172	9606
O14497	9606
Q16540	9606
Q9Y6D6	9606
Q9BYJ9	9606
P09603	9606
Q9H9B4	9606
Q99698	9606
Q9P0V3	9606
Q7Z5L2	9606
Q9UKZ1	9606
Q9UHQ9	9606
Q92541	9606
Q15070	9606
Q9NZM5	9606
P49588	9606
P57682	9606
Q96IY1	9606
O43772	9606
P51570	9606
P40424	9606
Q86WN1	9606
Q9H920	9606
Q96PU5	9606
P86790	9606
Q9HB19	9606
Q96CX2	9606
O43707	9606
Q8WUM4	9606
Q8IXL7	9606
Q13112	9606
O43156	9606
Q9UN37	9606
P00167	9606
Q86X27	9606
Q5JS54	9606
Q8N3C0	9606
O95630	9606
P16152	9606
Q92545	9606
Q8TDW0	9606
Q9Y375	9606
P62306	9606
Q8TDM6	9606
Q9H0U6	9606
O95405	9606
O14744	9606
O75821	9606
Q96CN4	9606
Q9BQA9	9606
Q9UNM6	9606
P43897	9606
Q8N4J0	9606
O00541	9606
Q9BW19	9606
Q9UBI1	9606
O15344	9606
P17252	9606
Q92784	9606
Q96EX1	9606
Q8NEN9	9606
Q9UEW8	9606
Q9HC36	9606
P83731	9606
Q9UFN0	9606
Q16594	9606
Q9NR56	9606
Q15392	9606
Q96R06	9606
O96019	9606
P50851	9606
Q96EY8	9606
Q99614	9606
P33527	9606
Q9Y281	9606
Q6N043	9606
Q5T9A4	9606
P62851	9606
Q96A72	9606
Q9NZI7	9606
Q14498	9606
Q6FIF0	9606
Q659C4	9606
Q9UQN3	9606
P33897	9606
Q7Z449	9606
Q75QN2	9606
O95197	9606
O15061	9606
Q16585	9606
O60568	9606
Q9BZQ6	9606
Q9Y478	9606
P29144	9606
P48735	9606
Q92667	9606
O43242	9606
P06703	9606
P22692	9606
P55884	9606
Q5SYE7	9606
Q0ZGT2	9606
Q8NE00	9606
Q86TC9	9606
O43169	9606
Q9NZJ9	9606
P10515	9606
Q9BQC6	9606
Q08378	9606
Q15041	9606
P78371	9606
Q96HE7	9606
Q4L180	9606
Q96L92	9606
P04080	9606
O00213	9606
O95817	9606
